total: 166
dlg_10300010                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.70 | st=  236 | ndf=  462 | GPS, Weizen
dlg_10300020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.70 | st=  236 | ndf=  462 | GPS, Weizen
dlg_10310020                        | forage=True  | group=Grundfutter/Grobfutter         | me=12.10 | st=    0 | ndf=  434 | Gras, sehr gute OMD
dlg_10320020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.20 | st=    0 | ndf=  450 | Gras, gute OMD
dlg_10330020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.10 | st=    0 | ndf=  484 | Gras, mittlere OMD
dlg_10340020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 8.70 | st=    0 | ndf=  522 | Gras, niedrige OMD
dlg_10350010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.20 | st=   29 | ndf=  576 | Gr├╝ngetreide, mittlere OMD
dlg_10360020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 8.90 | st=    0 | ndf=  393 | Hornkleegras, mittlere OMD
dlg_10370020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.80 | st=    0 | ndf=  507 | Kleegras, 1.Aufwuchs
dlg_10380020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.90 | st=    0 | ndf=  495 | Kleegras, Folgeaufw├╝chse
dlg_10390020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.70 | st=    0 | ndf=  483 | Landsberger Gemenge, Silage
dlg_10400010                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.80 | st=    0 | ndf=  514 | Luzerne, 1. A. mittlere OMD
dlg_10400020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.80 | st=    0 | ndf=  514 | Luzerne, 1. A. mittlere OMD
dlg_10410010                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.10 | st=    0 | ndf=  501 | Luzerne, 1. A. niedrige OMD
dlg_10410020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.10 | st=    0 | ndf=  501 | Luzerne, 1. A. niedrige OMD
dlg_10420010                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.00 | st=    0 | ndf=  529 | Luzerne, Folgeaufw. mittlere OMD
dlg_10420020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.00 | st=    0 | ndf=  529 | Luzerne, Folgeaufw. mittlere OMD
dlg_10430010                        | forage=True  | group=Grundfutter/Grobfutter         | me= 8.70 | st=    0 | ndf=  516 | Luzerne, Folgeaufw. niedrige  OMD
dlg_10430020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 8.70 | st=    0 | ndf=  516 | Luzerne, Folgeaufw. niedrige  OMD
dlg_10440030                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.30 | st=    0 | ndf=  595 | Luzerne
dlg_10450010                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.90 | st=    0 | ndf=  400 | Luzerne, hohe OMD
dlg_10450020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.90 | st=    0 | ndf=  400 | Luzerne, hohe OMD
dlg_10460010                        | forage=True  | group=Grundfutter/Grobfutter         | me= 8.30 | st=    0 | ndf=  474 | Luzerne, sehr niedrige OMD
dlg_10460020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 8.30 | st=    0 | ndf=  474 | Luzerne, sehr niedrige OMD
dlg_10470030                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.00 | st=    0 | ndf=  444 | Luzerne
dlg_10480020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.90 | st=    0 | ndf=  493 | Luzernegrass
dlg_10490020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.70 | st=  319 | ndf=  389 | Mais, Ganzpflanze, hohe OMD
dlg_10500020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.20 | st=  309 | ndf=  401 | Mais, Ganzpflanze, mittlere OMD
dlg_10510020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.60 | st=  298 | ndf=  417 | Mais, Ganzpflanze, niedrige OMD
dlg_10520020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.50 | st=  301 | ndf=  409 | Mais, Ganzpflanze, hohe NDFD
dlg_10530020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.80 | st=  320 | ndf=  391 | Mais, Ganzpflanze, niedrige NDFD
dlg_10540020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.20 | st=  358 | ndf=  381 | Mais, Ganzpflanze, St├ñrkegehalt hoch
dlg_10550020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.10 | st=  227 | ndf=  438 | Mais, Ganzpflanze, St├ñrkegehalt niedrig
dlg_10560010                        | forage=True  | group=Grundfutter/Grobfutter         | me= 6.30 | st=   11 | ndf=  711 | Mais, Restpflanze nach Kolbenenernte
dlg_10570020                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.30 | st=    0 | ndf=  438 | Rotklee
dlg_10580010                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.50 | st=    0 | ndf=  426 | Rotklee
dlg_10590020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.40 | st=    0 | ndf=  441 | Rotkleegras
dlg_10600020                        | forage=True  | group=Grundfutter/Grobfutter         | me= 9.20 | st=  177 | ndf=  493 | Sorghum-Hirse, Teigreife
dlg_10610000                        | forage=True  | group=Grundfutter/Grobfutter         | me= 7.10 | st=   14 | ndf=  800 | Stroh, Gerste
dlg_10620010                        | forage=True  | group=Grundfutter/Grobfutter         | me=11.00 | st=    0 | ndf=  400 | Wei├ƒklee
dlg_10630020                        | forage=True  | group=Grundfutter/Grobfutter         | me=10.80 | st=    0 | ndf=  350 | Zuckerr├╝be, Blattsilage
dlg_20640012                        | forage=True  | group=Grundfutter/Saftfutter         | me=11.30 | st=   22 | ndf=  643 | Biertreber
dlg_20650020                        | forage=True  | group=Grundfutter/Saftfutter         | me=11.50 | st=   10 | ndf=  570 | Biertreber, gepresst
dlg_20660012                        | forage=True  | group=Grundfutter/Saftfutter         | me=12.60 | st=  402 | ndf=  329 | Erbsen, P├╝lpe
dlg_20670010                        | forage=True  | group=Grundfutter/Saftfutter         | me=11.50 | st=    0 | ndf=  125 | Futterrr├╝be
dlg_20680010                        | forage=True  | group=Grundfutter/Saftfutter         | me=11.80 | st=   60 | ndf=  441 | Getreide, Schlempe aus der Bioethanolgewinnung
dlg_20690010                        | forage=True  | group=Grundfutter/Saftfutter         | me=12.60 | st=  710 | ndf=   75 | Kartoffel
dlg_20700020                        | forage=True  | group=Grundfutter/Saftfutter         | me=14.00 | st=  400 | ndf=  365 | Kartoffel, P├╝lpe
dlg_20710012                        | forage=True  | group=Grundfutter/Saftfutter         | me=13.50 | st=    0 | ndf=  171 | Lupine, Samen, P├╝lpe
dlg_20720020                        | forage=True  | group=Grundfutter/Saftfutter         | me=11.20 | st=    0 | ndf=  711 | Mohrr├╝be, Trester
