TABLE_NAME,COLUMN_NAME
AIDA_FUHRPARK,KFZKENNZEICHEN
AIDA_FUHRPARK,SCHADSTOFFGRUPPE_ID
AIDA_FUHRPARK,SCHADSTOFFGRUPPE_DBID
AIDA_FUHRPARK,HUBRAUM
AIDA_FUHRPARK,LEISTUNG
AIDA_FUHRPARK,KRAFTSTOFF
AIDA_FUHRPARK,LEERGEWICHT
AIDA_FUHRPARK,NUTZLAST
AIDA_FUHRPARK,GESAMTGEWICHT
AIDA_FUHRPARK,ANHAENGERLAST
AIDA_FUHRPARK,AHK
AIDA_FUHRPARK,FAHRTENSCHREIBER
AIDA_FUHRPARK,LADEKRAN
AIDA_FUHRPARK,FAHRZEUGART_ID
AIDA_FUHRPARK,FAHRZEUGART_DBID
AIDA_FUHRPARK,KFZSTEUERNUMMER
AIDA_FUHRPARK,FINANZAMT_ID
AIDA_FUHRPARK,FINANZAMT_DBID
AIDA_FUHRPARK,KONTIERUNG
AIDA_FUHRPARK,LEASINGGESELLSCHAFT_ID
AIDA_FUHRPARK,LEASINGGESELLSCHAFT_DBID
AIDA_FUHRPARK,LEASINGDAUER
AIDA_FUHRPARK,LEASINGRATE
AIDA_FUHRPARK,ABSCHREIBUNGSART
AIDA_FUHRPARK,AFAJAHRE
AIDA_FUHRPARK,AFAJAEHRLICH
AIDA_FUHRPARK,AFAMONATLICH
AIDA_FUHRPARK,HAENDLER_ID
AIDA_FUHRPARK,HAENDLER_DBID
AIDA_FUHRPARK,KAUFDATUM
AIDA_FUHRPARK,KAUFSUMME
AIDA_FUHRPARK,VERKAUFSDATUM
AIDA_FUHRPARK,KOSTENSTELLE
AIDA_FUHRPARK,BESTELLUNGSDATUM
AIDA_FUHRPARK,KFZFABRIKAT
AIDA_FUHRPARK,ZULASSUNGSDATUM
AIDA_FUHRPARK,ERSTZULASSUNGSDATUM
AIDA_FUHRPARK,ABMELDEDATUM
AIDA_FUHRPARK,NEUGEBRAUCHT
AIDA_FUHRPARK,WINTERREIFEN
AIDA_FUHRPARK,EINLAGERUNG_ID
AIDA_FUHRPARK,EINLAGERUNG_DBID
AIDA_FUHRPARK,HANDYFREISPRECH
AIDA_FUHRPARK,HANDYFREISPRECHFABRIKAT
AIDA_FUHRPARK,HANDYFABRIKAT
AIDA_FUHRPARK,HANDYRUFNR
AIDA_FUHRPARK,BESTELLUNGSNR
AIDA_FUHRPARK,EQUIPMENT
AIDA_FUHRPARK_BEREICH,ID
AIDA_FUHRPARK_BEREICH,DBID
AIDA_FUHRPARK_BEREICH,BEREICH
AIDA_FUHRPARK_BETRIEB,ID
AIDA_FUHRPARK_BETRIEB,DBID
AIDA_FUHRPARK_BETRIEB,BETRIEB
AIDA_FUHRPARK_FAHRER,ID
AIDA_FUHRPARK_FAHRER,DBID
AIDA_FUHRPARK_FAHRER,FUHRPARKID
AIDA_FUHRPARK_FAHRER,FUHRPARKDBID
AIDA_FUHRPARK_FAHRER,VORNAME
AIDA_FUHRPARK_FAHRER,NAME
AIDA_FUHRPARK_FAHRER,DATUM_ANFANG
AIDA_FUHRPARK_FAHRER,DATUM_ENDE
AIDA_FUHRPARK_FAHRER,UHRZEIT_BEGINN
AIDA_FUHRPARK_FAHRER,UHRZEIT_ENDE
AIDA_FUHRPARK_KILOMETERSTAND,ID
AIDA_FUHRPARK_KILOMETERSTAND,DBID
AIDA_FUHRPARK_KILOMETERSTAND,FUHRPARKID
AIDA_FUHRPARK_KILOMETERSTAND,FUHRPARKDBID
AIDA_FUHRPARK_KILOMETERSTAND,DATUM
AIDA_FUHRPARK_KILOMETERSTAND,KILOMETERSTAND
AIDA_FUHRPARK_PROFILRECHNUNG,ID
AIDA_FUHRPARK_PROFILRECHNUNG,DBID
AIDA_FUHRPARK_PROFILRECHNUNG,RECHNUNGSID
AIDA_FUHRPARK_PROFILRECHNUNG,RECHNUNGSDBID
AIDA_FUHRPARK_PROFILRECHNUNG,FUHRPARKID
AIDA_FUHRPARK_PROFILRECHNUNG,FUHRPARKDBID
AIDA_FUHRPARK_PROFILRECHNUNG,BETRAG
AIDA_FUHRPARK_PROFILRECHNUNG,KOSTENART
AIDA_FUHRPARK_RECHNUNG,ID
AIDA_FUHRPARK_RECHNUNG,DBID
AIDA_FUHRPARK_RECHNUNG,NUMMER
AIDA_FUHRPARK_RECHNUNG,DATUM
AIDA_FUHRPARK_RECHNUNG,BEZEICHNUNG
AIDA_FUHRPARK_RECHNUNG,BETRAG
AIDA_FUHRPARK_RECHNUNG,LIEFERANT
AIDA_FUHRPARK_RECHNUNG,KOSTENKONTO
AIDA_FUHRPARK_RECHNUNG,ZUGEORDNET
AIDA_FUHRPARK_SCHADSTOFFGRUPPE,ID
AIDA_FUHRPARK_SCHADSTOFFGRUPPE,DBID
AIDA_FUHRPARK_SCHADSTOFFGRUPPE,SCHADSTOFFGRUPPE
AIDA_FUHRPARK_STEUER,ID
AIDA_FUHRPARK_STEUER,DBID
AIDA_FUHRPARK_STEUER,FUHRPARKID
AIDA_FUHRPARK_STEUER,FUHRPARKDBID
AIDA_FUHRPARK_STEUER,JAHR
AIDA_FUHRPARK_STEUER,STEUERSATZ
AIDA_FUHRPARK_TERMINARTEN,ID
AIDA_FUHRPARK_TERMINARTEN,DBID
AIDA_FUHRPARK_TERMINARTEN,TERMINART
AIDA_FUHRPARK_TERMINARTEN,TERMINKEY
AIDA_FUHRPARK_TERMINARTEN,MONATE
AIDA_FUHRPARK_TERMINARTEN,KILOMETER
AIDA_FUHRPARK_TERMINE,ID
AIDA_FUHRPARK_TERMINE,DBID
AIDA_FUHRPARK_TERMINE,FUHRPARKID
AIDA_FUHRPARK_TERMINE,FUHRPARKDBID
AIDA_FUHRPARK_TERMINE,TERMINARTID
AIDA_FUHRPARK_TERMINE,TERMINARTDBID
AIDA_FUHRPARK_TERMINE,TERMINKEY
AIDA_FUHRPARK_TERMINE,FAELLIG
AIDA_FUHRPARK_TERMINE,ERLEDIGT
AIDA_FUHRPARK_TERMINE,KMSTAND_FAELLIG
AIDA_FUHRPARK_TERMINE,KMSTAND_ERLEDIGT
AIDA_FUHRPARK_TERMININTERVALLE,ID
AIDA_FUHRPARK_TERMININTERVALLE,DBID
AIDA_FUHRPARK_TERMININTERVALLE,TERMINARTID
AIDA_FUHRPARK_TERMININTERVALLE,TERMINARTDBID
AIDA_FUHRPARK_TERMININTERVALLE,FUHRPARKID
AIDA_FUHRPARK_TERMININTERVALLE,FUHRPARKDBID
AIDA_FUHRPARK_TERMININTERVALLE,MONATE
AIDA_FUHRPARK_TERMININTERVALLE,KILOMETER
AIDA_FUHRPARK_TYP,ID
AIDA_FUHRPARK_TYP,DBID
AIDA_FUHRPARK_TYP,TYP
AIDA_FUHRPARK_UNFALL,ID
AIDA_FUHRPARK_UNFALL,DBID
AIDA_FUHRPARK_UNFALL,FUHRPARKID
AIDA_FUHRPARK_UNFALL,FUHRPARKDBID
AIDA_FUHRPARK_UNFALL,FAHRERVORNAME
AIDA_FUHRPARK_UNFALL,FAHRERNAME
AIDA_FUHRPARK_UNFALL,VERSCHULDET
AIDA_FUHRPARK_UNFALL,DATUM
AIDA_FUHRPARK_UNFALL,SCHADENSSUMME
AIDA_FUHRPARK_UNFALL,UNFALLSCHADEN
AIDA_FUHRPARK_VER,ID
AIDA_FUHRPARK_VER,DBID
AIDA_FUHRPARK_VER,VER1
AIDA_FUHRPARK_VER,VER2
AIDA_FUHRPARK_VERSICHERUNG,ID
AIDA_FUHRPARK_VERSICHERUNG,DBID
AIDA_FUHRPARK_VERSICHERUNG,FUHRPARKID
AIDA_FUHRPARK_VERSICHERUNG,FUHRPARKDBID
AIDA_FUHRPARK_VERSICHERUNG,VERSICHERUNGSID
AIDA_FUHRPARK_VERSICHERUNG,VERSICHERUNGSDBID
AIDA_FUHRPARK_VERSICHERUNG,BETRAGHAFT
AIDA_FUHRPARK_VERSICHERUNG,BETRAGVOLL
AIDA_FUHRPARK_VERSICHERUNG,PROZENTHAFT
AIDA_FUHRPARK_VERSICHERUNG,PROZENTVOLL
AIDA_FUHRPARK_VERSICHERUNG,DATUMANFANG
AIDA_FUHRPARK_VERSICHERUNG,DATUMENDE
AIDA_FUHRPARK_VERSICHERUNG,VERSSCHNR
AIDA_FUHRPARK_VERWENDUNG,ID
AIDA_FUHRPARK_VERWENDUNG,DBID
AIDA_FUHRPARK_VERWENDUNG,VERWENDUNG
AIDA_VORKALK,LFDNR
AIDA_VORKALK,W1
AIDA_VORKALK,W2
AIDA_VORKALK,W3
AIDA_VORKALK,W4
AIDA_VORKALK,W5
AIDA_VORKALK,W6
AIDA_VORKALK,W7
AIDA_VORKALK,W8
AIDA_VORKALK,W9
AIDA_VORKALK,W10
AIDA_VORKALK,W11
AIDA_VORKALK,W12
AIDA_VORKALK,W13
AIDA_VORKALK,W14
AIDA_VORKALK,W15
AIDA_VORKALK,I1
AIDA_VORKALK,I2
AIDA_VORKALK,TRFIELD
AIDA_VORKALK,REPL_ID
AIDA_VORKALK,REPL_DATABASE
AIDA_VORKALK,OBJEKTKALKULATIONWOCHENSTUNDEN
AIDA_VORKALK,KALKANABREISEARTENWOCHENSTD
AIRBUSBUCHUNGEN,ID
AIRBUSBUCHUNGEN,DBID
AIRBUSBUCHUNGEN,IPERSONALNR
AIRBUSBUCHUNGEN,DTDATUM
AIRBUSBUCHUNGEN,CTRANSPONDER
AIRBUSBUCHUNGEN,DTKOMMEN
AIRBUSBUCHUNGEN,DTGEHEN
AIRBUSBUCHUNGEN,DKONTIERUNGSZEIT
AIRBUSBUCHUNGEN,CBUCHUNGSMODELL
AIRBUSBUCHUNGEN,DTEINLESEDATUM
AIRBUSBUCHUNGEN,ISTUNDENERZEUGT
AIRBUSBUCHUNGEN,TRFIELD
AIRBUSBUCHUNGEN,REPL_ID
AIRBUSBUCHUNGEN,REPL_DATABASE
AIRBUSBUCHUNGEN,IABWEICHUNG
AIRBUSBUCHUNGEN,IABWEICHUNGBEARBEITET
AIRBUSEINSPERS,ID
AIRBUSEINSPERS,DBID
AIRBUSEINSPERS,PERSONALNR
AIRBUSEINSPERS,AUFTRAGNR
