id,name,quelle,tm_g_kg_fm,ra_g_kg_tm,rp_g_kg_tm,rf_g_kg_tm,starch_g_kg_tm,sugar_g_kg_tm,andfom_g_kg_tm,ge_mj_kg_tm,me_mj_kg_tm
koernermais_dlg2025,Körnermais,DLG Futterwerttabellen Wiederkäuer 2025,880,17,93,52,711,19,115,18.9,13.2
ackerbohnen_dlg2025,Ackerbohnen,DLG Futterwerttabellen Wiederkäuer 2025,880,40,296,16,443,32,133,19.1,13.8
erbsen_dlg2025,Erbsen,DLG Futterwerttabellen Wiederkäuer 2025,880,37,230,17,491,48,158,18.7,13.5
raps_extraktionsschrot_dlg2025,"Rapsextraktionsschrot, unbehandelt",DLG Futterwerttabellen Wiederkäuer 2025,890,79,385,35,72,86,298,19.6,11.7
soja_extraktionsschrot_dlg2025,"Sojaextraktionsschrot, unbehandelt",DLG Futterwerttabellen Wiederkäuer 2025,890,67,500,18,68,104,154,19.9,13.9
soja_extraktionsschrot_hp_dlg2025,"Sojaextraktionsschrot, geschälte Saat (HP)",DLG Futterwerttabellen Wiederkäuer 2025,890,67,525,20,45,103,124,20.1,14.1
weizenkleie_staerkerich_dlg2025,"Weizenkleie, stärkereich",DLG Futterwerttabellen Wiederkäuer 2025,880,51,171,48,292,64,408,19.1,11.7
melasseschnitzel_dlg2025,Melasseschnitzel,DLG Futterwerttabellen Wiederkäuer 2025,900,75,96,13,0,171,399,17.7,13.1
melasse_zuckerruebe_dlg2025,"Melasse, Zuckerrübe",DLG Futterwerttabellen Wiederkäuer 2025,770,111,139,1,0,654,0,15.6,11.2
