feed_id,feed_name,source_set,sidp_g_kgdm,ca_g_kgdm,p_g_kgdm,na_g_kgdm,price_eur_kgdm,group,min_kgdm,max_kgdm,notes,source_sidp,source_minerals,source_group,source_price,source_limits
kokospresskuchen,Kokospresskuchen,DLG_2025,110,1.8,6.6,1,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
koernermais,Körnermais,DLG_2025,108,0.3,3.2,0.1,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
leinsamen,Leinsamen,DLG_2025,95,3,6,0.8,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
leinextraktionsschrot_aufgefettet,"Leinextraktionsschrot, aufgefettet",DLG_2025,140,4.1,9.4,1.1,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
leinkuchen,Leinkuchen,DLG_2025,125,4,9.1,1.1,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
maiskleberfutter,Maiskleberfutter,DLG_2025,96,0.7,11.5,3,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
malzkeime,Malzkeime,DLG_2025,115,0.1,0.5,0.3,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
melasseschnitzel,Melasseschnitzel,DLG_2025,96,11,0.8,1.7,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
palmkernkuchen,Palmkernkuchen,DLG_2025,90,2.3,5.9,0.1,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
rapssaat,Rapssaat,DLG_2025,113,3,7.6,0.2,,Konzentratfutter - Trockenkonzentrat,,,,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,https://www.dlg.org/fileadmin/downloads/Landwirtschaft/Tierhaltung/Futtermittel/Fachinfos/Rinder/Futterwerttabellen_fuer_Wiederkaeuer/DLG_Futterwerttabellen.pdf,,
